,Demanda,Produccion
2019-11-20,280092,251137
2019-11-21,316678,254243
2019-11-22,310295,266835
2019-11-23,312681,260860
2019-11-24,314490,260514
2019-11-25,321801,262594
2019-11-26,321718,276787
2019-11-27,319209,269896
2019-11-28,311504,256755
2019-11-29,295801,259681
2019-11-30,289916,259742
2019-12-01,288793,257560
2019-12-02,288360,235387
2019-12-03,287310,257270
2019-12-04,298632,257643
2019-12-05,321005,267088
2019-12-06,331986,275721
2019-12-07,339701,272979
2019-12-08,342849,274621
2019-12-09,364921,273898
2019-12-10,381216,281787
2019-12-11,387786,289794
2019-12-12,377173,295867
2019-12-13,371484,290397
2019-12-14,365968,267235
2019-12-15,375697,265910
2019-12-16,389443,272995
2019-12-17,405381,285184
2019-12-18,398381,280298
2019-12-19,394335,290496
2019-12-20,392349,291644
2019-12-21,395976,301684
2019-12-22,395283,304712
2019-12-23,397820,292079
2019-12-24,401642,303169
2019-12-25,403027,304299
2019-12-26,392051,280649
2019-12-27,385140,276750
2019-12-28,377857,276404
2019-12-29,392324,275060
2019-12-30,400597,274435
2019-12-31,402212,280194
2020-01-01,398283,281007
2020-01-02,408923,277224
2020-01-03,414675,273897
2020-01-04,415230,268031
2020-01-05,418590,282330
2020-01-06,431218,285232
2020-01-07,413657,291644
2020-01-08,431369,283070
2020-01-09,425114,277740
2020-01-10,442286,285486
2020-01-11,440043,284356
2020-01-12,455193,295241
2020-01-13,465236,306679
2020-01-14,456830,316806
2020-01-15,448372,309943
2020-01-16,465495,307188
2020-01-17,461762,304561
2020-01-18,434078,304536
2020-01-19,434376,296506
2020-01-20,441960,296823
2020-01-21,443329,290901
2020-01-22,424266,287062
2020-01-23,443108,295404
2020-01-24,440096,302395
2020-01-25,435742,303506
2020-01-26,438590,311275
2020-01-27,443823,302922
2020-01-28,443439,289996
2020-01-29,433537,294462
2020-01-30,426231,304986
2020-01-31,414930,299576
2020-02-01,397497,295055
2020-02-02,405584,301330
2020-02-03,407192,321765
2020-02-04,414793,313817
2020-02-05,409503,302844
2020-02-06,398607,303989
2020-02-07,385822,301232
2020-02-08,368575,297846
2020-02-09,365266,318419
2020-02-10,393554,333313
2020-02-11,430037,340623
2020-02-12,448287,345887
2020-02-13,445400,344878
2020-02-14,420299,353269
2020-02-15,424746,338367
2020-02-16,413417,325736
2020-02-17,410398,293151
2020-02-18,396308,298655
2020-02-19,375118,296528
2020-02-20,356693,293828
2020-02-21,356625,296104
2020-02-22,331468,287810
