Produccion,Hours,Demanda
9061,4,12256
9694,5,12917
10926,6,14290
11402,7,15394
11413,8,17008
11382,9,17102
11206,10,17442
11258,11,17652
11423,12,18077
11441,13,17843
11430,14,17823
11432,15,17823
11610,16,17389
11822,17,19141
12253,18,19517
11967,19,20059
11650,20,19328
11246,21,18593
10558,22,18078
9916,23,17475
9478,24,16785
7955,1,13496
7369,2,12556
7063,3,11949
6988,4,12344
7366,5,12960
8735,6,14377
10298,7,15472
10615,8,17091
10696,9,17179
11031,10,17506
11272,11,17716
11798,12,18140
12138,13,17908
11916,14,17887
11197,15,17887
11176,16,17478
11521,17,19216
11709,18,19600
11839,19,20153
11755,20,19407
11789,21,18664
11281,22,18151
10466,23,17541
9989,24,16838
9106,1,13560
8633,2,12610
8484,3,11994
8586,4,12400
9030,5,13020
10542,6,14453
11178,7,15610
11550,8,17174
11430,9,17260
11097,10,17584
11178,11,17800
11084,12,18225
10993,13,17990
11001,14,17969
10936,15,17969
11233,16,17535
11455,17,19306
11767,18,19691
11812,19,20245
11690,20,19500
11691,21,18749
11472,22,18236
11025,23,17624
10560,24,16916
9749,1,13449
9285,2,12507
9181,3,11895
9188,4,12293
9945,5,12921
10923,6,14337
11334,7,15478
11300,8,17051
11670,9,17141
11704,10,17469
11661,11,17683
11840,12,18107
11959,13,17872
11893,14,17852
11768,15,17852
11875,16,17417
12112,17,19178
12638,18,19557
12674,19,20108
12401,20,19366
12436,21,18627
12107,22,18112
11776,23,17505
11291,24,16808
10306,1,13199
9725,2,12283
9349,3,11693
9353,4,12068
10083,5,12698
11087,6,14127
11723,7,15284
11980,8,16739
12016,9,16839
11801,10,17147
11790,11,17356
12156,12,17772
12021,13,17545
11971,14,17525
11971,15,17525
12120,16,17096
12453,17,18823
12669,18,19197
12833,19,19736
12754,20,19007
12639,21,18283
12320,22,17775
11802,23,17181
11000,24,16497
10128,1,13168
9635,2,12293
9289,3,11701
9210,4,12062
9755,5,12665
10693,6,14075
11367,7,15102
11953,8,16698
12170,9,16807
12244,10,17118
12656,11,17320
12561,12,17731
12390,13,17503
12352,14,17483
12309,15,17483
12304,16,17059
12591,17,18779
12922,18,19152
12888,19,19689
12855,20,18965
12613,21,18241
11930,22,17736
11179,23,17142
10762,24,16460
9543,1,13132
9108,2,12210
8817,3,11658
8867,4,12077
9505,5,12631
10635,6,13989
11612,7,15049
12292,8,16656
12320,9,16703
12217,10,17018
12309,11,17226
12448,12,17637
12452,13,17412
12493,14,17392
12378,15,17392
12490,16,16970
12804,17,18684
13209,18,19056
13133,19,19596
13034,20,18871
12990,21,18146
12464,22,17647
11893,23,17057
11309,24,16372
9948,1,13293
9285,2,12349
9065,3,11789
9077,4,12165
9835,5,12748
11092,6,14130
12168,7,15212
12332,8,16740
12099,9,16826
11883,10,17143
12120,11,17352
12313,12,17765
12295,13,17539
12332,14,17519
12378,15,17519
12449,16,17093
12441,17,18819
12589,18,19195
12768,19,19736
12925,20,19004
13053,21,18278
12930,22,17773
12516,23,17179
11707,24,16492
10521,1,13074
9921,2,12191
9542,3,11649
9625,4,11997
10351,5,12596
11519,6,13933
12543,7,15115
12782,8,16583
12498,9,16670
12140,10,16968
12182,11,17153
12179,12,17564
12379,13,17350
12666,14,17319
12791,15,17319
12893,16,16900
12899,17,18600
13327,18,18969
13352,19,19504
13232,20,18786
13169,21,18067
12895,22,17569
12540,23,16981
12067,24,16308
10766,1,12949
10070,2,12087
9745,3,11593
9742,4,11905
10575,5,12515
11810,6,13908
12561,7,14902
12587,8,16435
12402,9,16500
11744,10,16789
11561,11,16995
11927,12,17399
12656,13,17175
12726,14,17156
12598,15,17156
12530,16,16735
12958,17,18425
13102,18,18789
13156,19,19317
12930,20,18605
12703,21,17896
12600,22,17402
12201,23,16820
11873,24,16149
10391,1,12866
9867,2,11977
9690,3,11510
9695,4,11898
10559,5,12471
11533,6,13759
12207,7,14775
12542,8,16330
12450,9,16393
12313,10,16702
12412,11,16904
12594,12,17310
12615,13,17084
12746,14,17064
12679,15,17064
12850,16,16654
13060,17,18334
13372,18,18697
13276,19,19224
13228,20,18515
13050,21,17806
12769,22,17316
12315,23,16736
12095,24,16069
10912,1,12834
9862,2,11845
9495,3,11310
9465,4,11625
10055,5,12202
11360,6,13514
12194,7,14545
12443,8,16020
12409,9,16113
12641,10,16408
12647,11,16607
12717,12,17012
12646,13,16805
12712,14,16758
12563,15,16738
12772,16,16333
12840,17,17981
13160,18,18346
13025,19,18853
13015,20,18157
12929,21,17462
12857,22,16980
12665,23,16413
12330,24,15762
11376,1,12658
10235,2,11675
9441,3,11119
9153,4,11404
9067,5,11970
9476,6,13281
9983,7,14269
11449,8,15811
12375,9,15977
12863,10,16301
12881,11,16500
10062,12,16663
10350,13,16619
11015,14,16609
11361,15,16545
12016,16,16166
12373,17,17757
12633,18,18112
12701,19,18623
12984,20,17934
12985,21,17247
12523,22,16772
12113,23,16211
11440,24,15562
9967,1,12688
9102,2,11812
8334,3,11271
8079,4,11643
8106,5,12201
8657,6,13572
9429,7,14594
10731,8,16106
11714,9,16196
12050,10,16508
12140,11,16709
12436,12,17112
12831,13,16888
12799,14,16868
12768,15,16868
12739,16,16490
12705,17,18116
12648,18,18473
12741,19,18991
12690,20,18296
12474,21,17596
12232,22,17107
11928,23,16541
11628,24,15882
10631,1,12771
9725,2,11880
9426,3,11362
9424,4,11698
9996,5,12306
10649,6,13604
11418,7,14634
11821,8,16189
12034,9,16275
11963,10,16587
12001,11,16793
12220,12,17195
12299,13,16974
12095,14,16954
12084,15,16954
12131,16,16540
12095,17,18204
12420,18,18568
12548,19,19088
12652,20,18387
12698,21,17682
12541,22,17190
12090,23,16620
11897,24,15960
11020,1,12938
10253,2,12073
9866,3,11514
9715,4,11825
10395,5,12406
11436,6,13737
11821,7,14675
11861,8,16241
11796,9,16327
11881,10,16640
12252,11,16842
12601,12,17247
12701,13,17023
12760,14,17004
12731,15,17004
12834,16,16612
12894,17,18264
13299,18,18667
13133,19,19151
13152,20,18448
12903,21,17738
